text_id,label,source_model,domain,text_content,topic_hint,word_count,avg_sentence_length,generation_method,n_sentences,avg_sent_len,ttr,hapax_ratio,avg_word_length,avg_syllables,long_word_ratio,func_word_ratio,punct_density,flesch_re,gunning_fog
TXT_0001,human,human,social,can we talk about gene editing ethics for a sec because i feel like people are completely missing the point here. this is bigger than most realize,gene editing ethics,27,13.5,template+human_variation,2.0,13.5,1.0,1.0,4.407407407407407,1.4074074074074074,0.18518518518518517,0.48148148148148145,0.037037037037037035,74.06583333333336,8.362962962962964
TXT_0002,human,human,social,update on election integrity concerns: it's complicated and anyone telling you otherwise is selling something. do your own research please,election integrity concerns,20,10.0,template+human_variation,2.0,10.0,1.0,1.0,5.85,1.9,0.45,0.35,0.1,35.94500000000002,14.0
TXT_0003,ai,gemini-2.0,news,"Analysts are closely watching developments related to climate change adaptation strategies, noting that recent events mark a potential turning point. The situation underscores long-standing structural issues that have resisted easy solutions. Observers remain cautiously optimistic about prospects for reform.",climate change adaptation strategies,39,13.0,style_simulation,3.0,13.333333333333334,0.975,0.95,6.65,2.175,0.5,0.225,0.125,9.29666666666671,20.333333333333336
TXT_0004,human,human,academic,"This paper examines genomic research breakthroughs through a critical lens,  drawing on empirical evidence gathered over a two-year period. The findings suggest that existing frameworks are insufficient to explain observed phenomena. We propose a revised model that accounts for contextual variability and systemic factors previously overlooked in the literature.",genomic research breakthroughs,49,16.3,template+human_variation,3.0,16.666666666666668,0.92,0.86,6.18,2.14,0.56,0.34,0.1,8.87433333333334,21.06666666666667
TXT_0005,ai,gpt-4o,academic,"Existing literature on student debt crisis has predominantly relied on cross-sectional designs, limiting causal inference. The present research addresses this gap through a prospective cohort study spanning three years. Preliminary results indicate a statistically significant association (p < 0.05) between key variables.",student debt crisis,42,10.8,style_simulation,4.0,10.25,0.9512195121951219,0.9024390243902439,6.560975609756097,2.1951219512195124,0.5365853658536586,0.21951219512195122,0.1951219512195122,10.723932926829264,17.758536585365857
TXT_0006,ai,gpt-4o,academic,"The concept of biodiversity loss occupies a contested space within contemporary scholarly discourse. Divergent theoretical frameworks have produced inconsistent empirical findings, underscoring the need for methodological standardization. This paper proposes an integrative framework to reconcile competing interpretations.",biodiversity loss,37,12.3,style_simulation,3.0,12.333333333333334,0.972972972972973,0.9459459459459459,7.648648648648648,2.6486486486486487,0.6216216216216216,0.2702702702702703,0.10810810810810811,-29.75900900900899,26.554954954954958
TXT_0007,human,human,academic,"The relationship between supply chain disruptions and broader societal outcomes remains poorly understood despite growing interest in the field. This study contributes to the literature by analyzing a dataset of 1,200 cases across five geographic regions. Results indicate statistically significant correlations, though causality cannot be established from observational data alone.",supply chain disruptions,50,16.7,template+human_variation,3.0,16.333333333333332,0.9591836734693877,0.9387755102040817,6.612244897959184,2.2857142857142856,0.5102040816326531,0.2857142857142857,0.10204081632653061,-3.114761904761849,21.22721088435374
TXT_0008,human,human,news,"breaking: autonomous vehicle safety. Sources close to the matter told reporters the situation developed rapidly over the past 48 hours. No official statement has been released, though a press conference is expected later today.",autonomous vehicle safety,34,11.3,template+human_variation,3.0,11.0,0.9393939393939394,0.9090909090909091,5.666666666666667,1.9393939393939394,0.3939393939393939,0.3333333333333333,0.15151515151515152,31.597272727272752,17.733333333333334
TXT_0009,human,human,news,Local authorities are responding to reports that public transit investment. Emergency services were alerted at approximately 9 AM. The incident is under investigation. Residents in nearby areas have been asked to remain indoors as a precaution.,public transit investment,36,9.0,template+human_variation,4.0,8.75,0.9714285714285714,0.9428571428571428,5.828571428571428,2.1142857142857143,0.4,0.4,0.11428571428571428,19.0851785714286,16.071428571428573
TXT_0010,ai,gpt-4o,academic,"This study investigates the multifaceted dimensions of climate change adaptation strategies, employing a mixed-methods approach to capture both quantitative patterns and qualitative nuances. The findings contribute to an evolving body of literature that challenges reductive theoretical models. Further longitudinal research is recommended to assess causal mechanisms.",climate change adaptation strategies,46,15.3,style_simulation,3.0,15.666666666666666,0.9148936170212766,0.851063829787234,6.76595744680851,2.276595744680851,0.5531914893617021,0.3191489361702128,0.10638297872340426,-1.6666666666666572,19.883687943262412
TXT_0011,human,human,news,"Officials confirmed on Tuesday that space exploration milestones. The announcement came after weeks of speculation. Critics argue the move is premature, while supporters say it was long overdue. Public response has been divided along predictable lines.",space exploration milestones,36,9.0,template+human_variation,4.0,9.0,0.9722222222222222,0.9444444444444444,5.888888888888889,1.9444444444444444,0.3888888888888889,0.3333333333333333,0.1388888888888889,33.20000000000002,15.822222222222223
TXT_0012,ai,gpt-4o,academic,"Existing literature on gig economy labor rights has predominantly relied on cross-sectional designs, limiting causal inference. The present research addresses this gap through a prospective cohort study spanning three years. Preliminary results indicate a statistically significant association (p < 0.05) between key variables.",gig economy labor rights,43,11.0,style_simulation,4.0,10.5,0.9523809523809523,0.9047619047619048,6.5,2.2142857142857144,0.5238095238095238,0.21428571428571427,0.19047619047619047,8.848928571428587,18.485714285714288
TXT_0013,ai,gpt-4o,social,The discourse around urban housing shortages has become so exhausting. Can we please acknowledge the complexity here instead of reducing it to talking points?,urban housing shortages,24,12.0,style_simulation,2.0,12.0,0.9583333333333334,0.9166666666666666,5.541666666666667,1.75,0.375,0.4166666666666667,0.08333333333333333,46.60500000000002,13.133333333333333
TXT_0014,human,human,social,can we talk about urban housing shortages for a sec because i feel like people are completely missing the point here. this is bigger than most realize,urban housing shortages,27,13.5,template+human_variation,2.0,13.5,1.0,1.0,4.555555555555555,1.4444444444444444,0.2222222222222222,0.48148148148148145,0.037037037037037035,70.93250000000003,8.362962962962964
TXT_0015,human,human,social,update on election integrity concerns: it's complicated and anyone telling you otherwise is selling something. do your own research please,election integrity concerns,20,10.0,template+human_variation,2.0,10.0,1.0,1.0,5.85,1.9,0.45,0.35,0.1,35.94500000000002,14.0
TXT_0016,human,human,news,Local authorities are responding to reports that remote work productivity. Emergency services were alerted at approximately 9 AM. The incident is under investigation. Residents in nearby areas have been asked to remain indoors as a precaution.,remote work productivity,36,9.0,template+human_variation,4.0,8.75,0.9714285714285714,0.9428571428571428,5.8,2.142857142857143,0.37142857142857144,0.4,0.11428571428571428,16.668035714285736,16.071428571428573
TXT_0017,human,human,academic,"This paper examines cryptocurrency market volatility through a critical lens,  drawing on empirical evidence gathered over a two-year period. The findings suggest that existing frameworks are insufficient to explain observed phenomena. We propose a revised model that accounts for contextual variability and systemic factors previously overlooked in the literature.",cryptocurrency market volatility,49,16.3,template+human_variation,3.0,16.666666666666668,0.92,0.86,6.22,2.24,0.54,0.34,0.1,0.41433333333333167,21.86666666666667
TXT_0018,human,human,news,An investigation into autonomous vehicle safety has uncovered new details that challenge the official narrative. Documents obtained through a freedom of information request suggest the issue is more complex than initially reported. Several key witnesses have declined to comment.,autonomous vehicle safety,39,13.0,template+human_variation,3.0,13.0,0.9743589743589743,0.9487179487179487,6.102564102564102,2.128205128205128,0.5641025641025641,0.358974358974359,0.07692307692307693,13.593846153846187,19.55897435897436
